dataset,classifier,train_frac,trial,n_total,train_acc,val_acc,test_acc,best_params
HeartDisease,LogReg,0.2,1,303,0.8666666666666667,0.7666666666666667,0.8271604938271605,"{""clf__C"": 0.01}"
HeartDisease,LogReg,0.2,2,303,0.8166666666666667,0.7833333333333332,0.8395061728395061,"{""clf__C"": 0.1}"
HeartDisease,LogReg,0.2,3,303,0.8333333333333334,0.8,0.8395061728395061,"{""clf__C"": 0.1}"
HeartDisease,LogReg,0.5,1,303,0.8675496688741722,0.8479569892473119,0.8092105263157895,"{""clf__C"": 0.1}"
HeartDisease,LogReg,0.5,2,303,0.847682119205298,0.8073118279569892,0.8486842105263158,"{""clf__C"": 0.1}"
HeartDisease,LogReg,0.5,3,303,0.8410596026490066,0.8206451612903226,0.8552631578947368,"{""clf__C"": 0.01}"
HeartDisease,LogReg,0.8,1,303,0.8512396694214877,0.8471938775510204,0.819672131147541,"{""clf__C"": 0.1}"
HeartDisease,LogReg,0.8,2,303,0.8553719008264463,0.8467687074829933,0.8688524590163934,"{""clf__C"": 10}"
HeartDisease,LogReg,0.8,3,303,0.8553719008264463,0.8512755102040817,0.819672131147541,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.2,1,303,0.9333333333333333,0.9,0.7654320987654321,"{""clf__C"": 0.1}"
HeartDisease,LinSVM,0.2,2,303,0.9,0.8833333333333334,0.8148148148148148,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.2,3,303,0.9166666666666666,0.8833333333333334,0.823045267489712,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.5,1,303,0.8874172185430463,0.8808602150537634,0.8026315789473685,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.5,2,303,0.8807947019867549,0.8479569892473119,0.8486842105263158,"{""clf__C"": 1}"
HeartDisease,LinSVM,0.5,3,303,0.8543046357615894,0.8544086021505377,0.8289473684210527,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.8,1,303,0.8471074380165289,0.8466836734693878,0.8688524590163934,"{""clf__C"": 0.01}"
HeartDisease,LinSVM,0.8,2,303,0.8760330578512396,0.8386904761904761,0.819672131147541,"{""clf__C"": 0.01}"
