dataset,classifier,train_frac,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std
AdultIncome,RandForest,0.2,0.9466284466284467,0.0047417836998858084,0.8566747952524029,0.0017099667602230872,0.8606319632833427,0.002305643011798527
AdultIncome,LogReg,0.2,0.8511466011466012,0.0016475713492455858,0.8492697986441176,0.0008274246443121212,0.852126733889543,0.000288412439719083
AdultIncome,LinSVM,0.2,0.8540472290472291,0.002157986862375379,0.8509076571347512,0.0015396375827806074,0.8504632236269641,0.0001678210197139659
AdultIncome,RandForest,0.5,0.9088489414847877,0.029187108090376418,0.8621406826012762,0.0033165743677936576,0.862768382403123,0.0024309445077421174
AdultIncome,LogReg,0.5,0.8537870412077039,0.0014525610918057021,0.8523812497712191,0.0012168548380244604,0.8519716637320339,0.0015250173579735714
AdultIncome,LinSVM,0.5,0.8544422150335094,0.002167686399307069,0.8529407103204442,0.001237948004479208,0.8517532724567655,0.0018586828888462912
AdultIncome,RandForest,0.8,0.8882263114341531,0.020487518146472886,0.8632388738751794,0.00045948073390971096,0.8648104548401405,0.001586926803048245
AdultIncome,LogReg,0.8,0.852958991289808,0.0009376773597617544,0.8520206138420997,0.0007630999669370176,0.8548469648889343,0.0033842307820281755
AdultIncome,LinSVM,0.8,0.8536926607461247,0.0005394829081893848,0.8525324751637875,0.0002468609754608137,0.8527655508922782,0.0015331928848848293
HeartDisease,LogReg,0.2,0.8388888888888889,0.025458753860865796,0.7833333333333333,0.01666666666666669,0.8353909465020576,0.007127781101106491
HeartDisease,LinSVM,0.2,0.9166666666666666,0.01666666666666669,0.888888888888889,0.00962250448649373,0.8010973936899862,0.031159990923458326
HeartDisease,RandForest,0.2,1.0,0.0,0.7999999999999999,0.04999999999999993,0.794238683127572,0.008230452674897165
HeartDisease,LogReg,0.5,0.8520971302428256,0.01378586754613338,0.825304659498208,0.02071932616522678,0.837719298245614,0.024907492744738028
HeartDisease,RandForest,0.5,0.9713024282560706,0.04970565231433865,0.8298924731182796,0.032611681870567656,0.8355263157894738,0.01740625862542496
HeartDisease,LinSVM,0.5,0.8741721854304636,0.017521531861354883,0.8610752688172044,0.017435277469857464,0.8267543859649124,0.02310450384397529
HeartDisease,LinSVM,0.8,0.8539944903581267,0.019528163744845485,0.8386054421768708,0.008121082195650244,0.8579234972677595,0.034125672122395596
HeartDisease,RandForest,0.8,0.8994490358126722,0.006312087734098969,0.8265022675736962,0.007119197398677729,0.8415300546448087,0.05008279448039167
HeartDisease,LogReg,0.8,0.8539944903581267,0.002385744914006758,0.8484126984126984,0.0024883651081279707,0.8360655737704917,0.028394275533915988
WineQuality,RandForest,0.2,0.9833205029509879,0.0011759239658598508,0.8375645975645977,0.002662131806726516,0.8473130691291523,0.0025401182916940023
WineQuality,LinSVM,0.2,0.821401077752117,0.012025018746584555,0.8188407088407089,0.008926064799674423,0.8165319994869821,0.002162333628329803
WineQuality,LogReg,0.2,0.8219142930459328,0.005674453268538896,0.8180635580635581,0.004632350678653878,0.8149288187764525,0.0018352043120756928
WineQuality,RandForest,0.5,1.0,0.0,0.8649463079293588,0.0017766000031710705,0.871037242228378,0.004309018159433686
WineQuality,LinSVM,0.5,0.8185550082101806,0.0027936489303810336,0.8175308759037572,0.0026515409854246,0.8189186416333231,0.0029893920763996223
WineQuality,LogReg,0.5,0.817220853858785,0.0026544575444124615,0.8169143850499783,0.0036963965481346265,0.8183030676105467,0.0012814195133678706
WineQuality,RandForest,0.8,1.0,0.0,0.8855110930134993,0.0010192417172111522,0.8876923076923077,0.003352999187338925
WineQuality,LinSVM,0.8,0.8213071643897121,0.0007776509302150113,0.8191253300757632,0.001674822638771761,0.82,0.0023076923076923023
WineQuality,LogReg,0.8,0.8203450708742223,0.0011598448669120208,0.8184853532736112,0.00029418393778467755,0.818974358974359,0.005457383757382799
